collection,name,description,image_url,owner,twitter_username,contracts
birds-303,Birds,,https://i.seadn.io/s/raw/files/119c371592dd54b5b9321027606f26a5.jpg?w=500&auto=format,0x2d1c47b6ebc3e6b62149a087df589958b9e58967,,"[{'address': '0x50161d9711242d4686e11a1585583b29d55d7446', 'chain': 'ethereum'}]"
doodles-on-textbook,Doodles On Textbook,,https://i.seadn.io/s/raw/files/1959fc5b465d747f791858a6d4ad00bd.png?w=500&auto=format,0x3a456d6cc579ce2bc3b95a029f488a4552577748,,"[{'address': '0x4851e5095536163a705ec4545810f0854837d998', 'chain': 'ethereum'}]"
utopia-60,Utopia,,,0x0a9aceabb4f4264d9264f68094872484d7cc07e2,,"[{'address': '0x389ebb6e25be396b224a0f774faaf01f00c2cd47', 'chain': 'ethereum'}]"
beaute-2,Beaute,,,0xa96966351d7bf10adffce0c32a0f957893d247ce,,"[{'address': '0x5a95190dd68148654326c066b9bfe883d9e25df1', 'chain': 'ethereum'}]"
ex-blond,X Blond,,https://i.seadn.io/s/raw/files/5c4b1b2e6c295c229b87ca84f9e54b56.jpg?w=500&auto=format,0x76c8a90811c5f88a42e95455714cf0a51ef1a1a5,,"[{'address': '0x62189fa8d061ddfb01971e3abb2625806a74d93b', 'chain': 'ethereum'}]"
sinan-tarik,Sinan Tarik,,https://i.seadn.io/s/raw/files/3b21b80e116b3bd745694ecac04a5d3a.jpg?w=500&auto=format,0xc0edc0b67fede6abbb9a6e9c10c13cb08fe6b6bb,,"[{'address': '0x30b07be12525fe1bea0e32185cbefd20218f9e5f', 'chain': 'ethereum'}]"
divine-dazzle,Divine Dazzle,"Explore the ""Divine Dazzle"" NFT collection, where beauty meets divinity. Each artwork captures the enchanting essence of feminine elegance through exquisite makeup artistry. From shimmering eyeshadows to radiant blushes, these digital masterpieces celebrate the timeless charm and grace of women.",https://i.seadn.io/s/raw/files/35c3c343e12a850489cff9a7464f5a62.png?w=500&auto=format,0x00df68f721c4fea894ea6303bd28890c527473c3,,"[{'address': '0xea3fea62f03e0e3a8503f610705f8d0f34b2e0bf', 'chain': 'ethereum'}]"
utopia-59,Utopia,,,0x0a9aceabb4f4264d9264f68094872484d7cc07e2,,"[{'address': '0x1efc89cd20a6fe5a5133b48d24240a62ad8eab34', 'chain': 'ethereum'}]"
spring-girls-1,Spring Girls,,,0x00df68f721c4fea894ea6303bd28890c527473c3,,"[{'address': '0xf0d68c9aa36826ec91f5ea5a249df02184339a6b', 'chain': 'ethereum'}]"
georgie-3,georgie,,,0x982147499820dfccdb073c429997fd7a8184ea89,,"[{'address': '0x182d45296978cdfc58a0cad30976e0bd474193b6', 'chain': 'ethereum'}]"
